title         = ASCII CSV version of Coal consumption data from the 2009 British Petroleum Statistical Review (worksheet 31)
file URL      = http://mazamascience.com/OilExport/BP_2009_coal_consumption_mtoe.csv
original data = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/2009_downloads/statistical_review_of_world_energy_full_report_2009.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = million tonnes oil equivalent per year

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"VE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0
"BP_OSCA",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.3,0.2,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.7,1.0,2.1,1.9,1.8,2.1,2.2,2.2
"BP_TSCA",6.0,6.2,6.5,6.3,6.7,7.2,6.7,6.5,6.7,7.1,7.1,7.6,8.5,9.0,9.6,10.0,10.3,10.5,11.5,13.5,15.3,15.5,16.1,16.5,17.3,17.2,17.5,16.9,17.5,17.9,18.2,19.1,20.3,19.7,20.1,20.1,19.0,18.3,19.6,20.5,20.8,20.9,22.5,23.3
"AT",4.7,4.4,4.0,4.0,3.8,4.0,3.5,3.6,3.5,3.4,3.2,3.1,2.9,2.8,3.1,3.3,3.1,3.0,3.1,3.6,3.5,3.2,3.3,3.0,3.1,3.6,3.6,2.8,2.4,2.5,2.4,2.7,3.1,3.0,3.2,3.2,2.9,3.0,2.9,2.9,2.8,2.8,3.1,3.1
"AZ","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"BY","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",1.1,1.2,1.3,1.3,1.3,1.1,1.1,0.7,0.6,0.2,0.3,0.5,0.6,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0
"BP_BELU",19.3,17.6,17.2,17.8,17.3,16.4,13.7,13.1,11.0,11.9,8.9,9.3,9.4,9.7,10.6,10.7,11.1,11.1,9.4,10.9,10.9,9.3,9.3,9.3,9.8,10.4,10.8,10.2,8.7,8.5,9.8,7.6,7.5,7.9,6.9,7.6,7.6,6.7,6.5,6.4,6.1,6.1,5.5,4.6
"BG",6.0,6.2,6.7,7.3,7.3,8.0,7.9,8.2,8.2,8.1,8.5,7.9,7.9,8.4,8.6,9.1,9.2,9.7,9.6,9.7,10.1,10.4,10.3,9.6,9.8,8.9,7.5,7.3,8.2,7.6,7.8,8.4,7.8,8.2,6.6,6.2,6.8,6.5,7.1,6.9,6.9,7.1,7.8,7.5
"CZ",35.3,35.2,34.1,35.3,36.6,37.1,38.7,38.1,37.3,37.1,37.9,38.7,39.5,39.7,39.7,38.5,38.3,38.6,38.4,39.1,38.2,38.1,37.6,38.1,36.6,33.5,30.4,25.4,23.7,23.2,23.5,23.6,22.8,20.5,19.0,21.0,21.2,20.6,20.8,20.5,19.8,19.4,20.0,19.1
"DK",2.1,2.4,2.2,2.5,2.2,2.0,1.4,1.3,1.8,2.1,2.5,2.5,3.3,3.4,4.2,5.9,5.4,5.7,5.4,6.3,7.1,7.3,7.2,6.9,5.5,6.0,8.4,6.7,7.2,7.8,6.5,8.9,6.7,5.6,4.7,4.0,4.2,4.2,5.7,4.6,3.7,5.6,4.7,4.1
"FI",2.0,1.9,1.8,2.2,2.6,2.5,2.2,1.8,2.0,2.1,1.8,2.5,2.6,3.5,3.2,3.8,1.8,1.9,2.8,2.7,3.5,3.0,3.7,3.6,3.2,3.2,3.6,2.7,3.1,4.1,3.1,4.0,4.5,3.4,3.6,3.5,4.0,4.4,5.8,5.3,3.1,5.2,4.6,3.4
"FR",45.1,41.3,41.8,40.0,39.8,37.8,33.8,29.5,29.4,30.3,26.5,30.0,29.8,30.5,28.5,27.7,25.1,28.6,25.3,25.2,23.0,19.6,17.9,17.1,19.6,19.1,20.1,17.9,14.7,13.7,14.5,15.4,13.4,16.1,14.3,13.9,12.1,12.4,13.3,12.8,13.3,12.1,12.3,11.9
"DE",163.5,152.7,147.1,149.2,153.6,151.7,144.5,140.1,141.2,139.6,128.3,134.4,130.9,132.3,139.5,139.6,141.3,140.1,141.0,147.4,147.6,143.4,141.3,140.1,138.2,129.6,113.3,104.4,97.9,95.5,90.6,89.9,86.8,84.8,80.2,84.9,85.0,84.6,87.2,85.4,82.1,83.5,85.7,80.9
"GR",2.1,2.1,2.0,2.3,2.2,2.5,3.7,4.0,4.7,4.9,6.5,7.6,8.1,7.2,4.0,4.0,3.9,4.0,4.9,5.2,6.0,5.8,6.6,7.4,7.9,8.0,7.8,8.4,7.9,8.4,8.2,7.8,7.6,8.8,9.1,9.2,9.3,9.8,9.4,9.0,8.8,8.1,8.5,8.6
"HU",10.9,10.5,9.1,9.0,9.1,9.2,8.9,8.7,8.7,8.3,7.9,8.0,8.2,8.2,8.2,8.1,8.1,8.5,8.0,7.7,7.6,7.5,7.5,7.1,6.3,5.6,5.8,4.6,4.0,3.6,3.6,3.7,3.7,3.4,3.4,3.2,3.4,3.1,3.4,3.1,2.7,2.9,2.9,2.8
"IS",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"IE",2.2,2.5,2.6,3.1,2.9,0.9,0.7,0.7,0.8,0.8,0.5,0.5,0.5,0.6,0.8,0.7,0.9,0.9,1.0,1.0,1.1,1.5,2.2,2.2,2.2,2.1,2.0,1.9,1.9,1.7,1.8,1.9,1.8,1.9,1.6,1.8,1.9,1.8,1.7,1.8,1.8,1.6,1.5,1.4
"IT",8.6,9.0,9.8,9.5,9.8,9.9,9.5,8.9,9.0,9.8,9.8,9.7,9.6,9.8,10.7,12.6,12.9,14.4,13.5,15.3,15.1,14.8,14.7,13.8,14.4,14.1,13.7,12.4,10.0,10.7,12.5,11.2,11.0,11.6,11.6,13.0,13.7,14.2,15.3,17.1,17.0,17.1,17.2,17.0
"KZ","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",38.1,40.1,41.6,43.4,41.4,40.2,38.2,39.9,36.4,34.5,27.5,25.9,22.4,22.9,19.8,23.2,22.5,22.8,25.2,26.5,27.2,28.1,30.8,33.6
"LT","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",0.6,0.7,0.7,0.7,0.6,0.6,0.6,0.5,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2
"NL",9.5,8.6,8.3,7.6,6.7,4.8,3.6,3.1,3.1,2.9,2.5,3.2,3.2,3.1,3.3,3.9,4.1,5.4,5.3,6.7,7.0,6.8,7.1,8.4,8.2,9.5,8.2,7.7,8.2,9.0,9.8,9.3,9.5,9.4,7.7,8.6,8.5,8.9,9.1,9.1,8.7,8.5,9.0,9.2
"NO",0.9,0.9,0.9,0.9,1.1,1.0,0.9,0.8,0.5,0.6,0.6,0.5,0.5,0.2,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.4,0.4,0.5,0.5,0.5,0.4,0.4,0.5,0.6,0.7,0.6,0.6,0.7,0.7,0.7,0.6,0.5,0.5,0.6,0.5,0.4,0.4,0.5
"PL",59.5,60.3,61.4,64.3,67.6,70.2,71.8,75.1,75.5,77.6,83.7,87.5,90.6,94.8,96.0,101.6,90.6,93.8,93.6,97.6,99.9,102.4,106.1,103.2,98.6,80.2,77.6,73.0,74.0,72.3,71.7,73.2,70.1,63.8,61.0,57.6,58.0,56.7,57.7,57.3,55.7,58.0,57.9,59.4
"PT",0.6,0.6,0.6,0.5,0.5,0.5,0.4,0.4,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.5,0.8,1.4,1.9,2.2,2.4,2.8,3.0,3.0,3.3,3.4,4.2,3.9,3.6,3.6,3.6,4.5,3.7,4.1,3.8,3.7,3.8,3.8,3.3,3.1
"RO",4.1,4.4,4.8,5.3,6.1,6.7,7.0,7.6,8.5,9.2,9.8,9.6,10.3,11.8,12.2,12.9,13.1,13.0,16.1,15.9,16.9,17.2,18.5,20.0,20.7,11.7,9.6,10.3,9.5,9.4,9.7,9.5,8.4,7.0,6.7,7.0,7.2,7.6,7.8,7.4,7.6,8.5,7.4,7.7
"RU","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",195.6,200.4,205.1,200.8,194.4,180.6,165.6,154.7,140.8,126.4,119.4,116.1,107.1,100.7,101.0,105.2,102.4,103.0,104.0,99.5,94.2,96.7,93.5,101.3
"SK",5.8,5.9,5.7,6.0,6.3,6.3,6.6,6.6,6.4,6.4,6.6,6.9,7.1,7.1,7.1,6.9,7.0,7.0,7.1,7.4,7.2,7.2,7.1,7.2,7.4,6.9,6.3,6.2,5.6,5.0,5.1,5.0,4.7,4.5,4.3,4.0,4.1,4.0,4.2,4.1,3.9,3.8,3.8,3.9
"ES",8.2,7.6,7.5,8.1,8.1,8.5,8.6,8.7,8.5,8.8,9.2,9.9,10.6,10.5,10.9,14.1,17.0,18.0,19.2,19.2,19.2,18.9,18.5,15.5,20.4,19.0,18.8,19.1,18.2,18.0,18.5,15.5,17.7,17.7,20.5,21.6,19.5,21.9,20.5,21.0,21.2,18.5,20.2,14.6
"SE",1.2,1.2,1.1,1.1,1.1,1.5,1.5,1.5,1.6,1.9,2.0,1.9,1.5,1.6,1.8,1.7,1.6,1.6,2.2,2.6,2.9,2.9,2.8,2.7,1.8,2.2,2.4,2.2,2.1,2.1,2.1,2.4,2.1,2.0,2.0,1.9,2.0,2.2,2.2,2.3,2.2,2.3,2.2,2.0
"CH",1.2,0.9,0.7,0.6,0.6,0.4,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.2,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"TR",3.7,4.1,3.6,3.9,4.2,4.2,4.3,4.5,4.6,4.8,4.9,5.3,5.5,5.4,6.5,7.5,7.4,8.0,8.6,9.8,10.6,14.2,16.0,16.4,18.3,16.8,16.8,19.0,18.7,17.6,17.5,20.7,22.3,24.0,22.6,25.5,21.8,21.2,21.8,23.0,26.1,28.8,31.0,30.4
"TM","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"UA","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",76.5,75.9,75.3,71.0,64.7,74.8,62.1,63.9,56.3,46.3,42.1,33.2,38.0,36.9,38.5,38.8,39.4,38.3,39.0,39.1,37.5,39.8,39.7,39.3
"GB",117.4,111.7,104.4,104.5,101.8,96.0,85.1,74.5,80.7,71.1,71.5,72.8,73.0,71.1,76.5,71.1,70.7,65.9,66.5,47.3,62.9,67.9,69.6,67.5,65.0,64.9,65.1,61.2,53.3,49.7,47.5,44.4,39.6,38.6,34.3,36.7,38.9,35.7,38.1,36.6,37.4,40.8,38.2,35.4
"UZ","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",3.5,4.2,4.2,3.4,4.1,4.1,4.0,2.9,1.9,1.8,1.4,1.2,1.2,1.2,0.9,1.0,1.1,1.0,1.0,1.1,1.1,1.1,1.4,1.4
"BP_OEE",337.2,350.3,353.2,348.6,343.4,339.8,348.3,364.1,364.8,365.2,378.3,386.8,393.8,399.0,397.9,350.2,341.3,347.6,345.4,341.3,26.4,27.2,26.7,25.9,24.8,29.4,25.7,22.0,20.7,16.5,18.0,18.2,20.8,20.9,16.4,17.3,16.5,18.7,19.6,20.1,18.4,15.5,15.7,16.1
"BP_TEE",851.0,842.1,830.7,833.7,834.7,821.9,807.1,805.0,812.7,807.7,812.0,839.3,849.4,861.3,874.3,834.5,815.0,827.7,827.4,823.2,844.1,853.9,865.1,849.1,832.4,790.5,733.1,691.8,640.1,600.5,580.0,565.2,545.8,529.5,504.5,525.6,518.7,518.6,533.9,527.8,514.1,526.6,528.9,522.7
"IR",0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.6,0.7,0.8,0.7,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.8,0.9,0.9,0.9,0.9,0.9,1.1,1.1,1.2,1.2,1.3,1.4,1.1,0.9,1.0,1.0,1.1,1.1,1.1,1.1,1.0,1.2,1.3,1.3,1.3
"KW",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"QA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"SA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"AE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"BP_OME",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,1.7,1.8,2.1,2.2,2.1,2.3,2.3,2.5,3.1,3.5,3.8,4.1,5.0,5.4,5.8,5.7,6.2,7.2,7.6,7.9,8.0,7.9,7.8,8.1,8.1
"BP_TME",0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.6,0.7,0.8,0.7,0.6,0.6,0.6,0.6,0.6,0.5,1.1,1.6,2.5,2.7,2.9,3.1,3.0,3.2,3.4,3.7,4.3,4.8,5.1,5.5,6.1,6.3,6.8,6.7,7.3,8.3,8.7,9.0,9.0,9.1,9.1,9.3,9.4
"DZ",0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.2,0.9,0.7,0.8,0.8,0.9,1.0,1.0,0.9,0.6,0.7,0.6,0.6,0.6,0.6,0.5,0.3,0.5,0.5,0.5,0.6,0.9,0.8,0.8,0.6,0.7,0.7,0.7
"EG",0.4,0.3,0.4,0.4,0.5,0.4,0.4,0.3,0.3,0.5,0.6,0.5,0.6,0.6,0.7,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.9,0.9,0.8,0.7,0.8,0.9,1.0,0.7,0.9,0.8,0.8,0.6,0.6,0.7,0.7,0.9,0.9,1.0,0.9,1.0,1.0
"ZA",24.7,24.3,25.0,26.2,26.5,27.4,29.4,29.6,31.6,33.0,35.2,37.0,38.3,37.3,39.7,43.5,51.9,57.7,59.7,64.3,66.2,67.3,68.4,73.8,69.5,71.3,70.1,67.3,69.8,73.6,77.4,81.7,84.3,83.4,82.3,81.9,80.6,83.5,89.3,94.5,91.9,93.8,97.7,102.8
"BP_OAF",2.7,2.8,2.8,3.0,3.0,3.0,3.5,3.7,3.7,3.5,3.5,3.7,3.3,3.2,3.0,3.3,3.1,3.2,3.3,3.3,3.8,4.5,5.2,5.1,5.2,6.6,5.9,5.9,6.8,6.5,6.7,6.8,6.9,7.0,6.5,6.4,7.3,7.2,6.4,7.2,7.3,6.8,6.2,5.7
"BP_TAF",27.8,27.5,28.3,29.8,30.0,30.9,33.3,33.7,35.6,37.0,39.3,41.3,42.3,41.1,43.4,47.4,55.9,62.5,64.4,69.0,71.5,73.4,75.4,80.8,76.5,79.4,77.4,74.6,78.1,81.7,85.3,89.8,92.3,91.6,89.9,89.4,89.3,92.4,97.4,103.4,100.8,102.3,105.7,110.3
"AU",16.0,16.6,17.1,17.6,18.0,18.1,18.0,18.7,19.6,20.7,21.6,22.5,23.5,24.0,25.0,26.1,26.8,26.8,26.5,28.1,29.6,30.8,32.5,34.5,35.9,36.5,37.4,37.9,38.3,39.0,40.3,42.4,44.3,45.8,46.2,46.5,47.9,51.3,50.5,53.1,54.9,56.9,55.8,51.3
"BD",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.2,0.3,0.1,0.1,0.0,0.0,0.3,0.2,0.3,0.1,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
"CN",165.6,180.6,126.0,166.3,177.3,196.5,213.0,216.9,228.0,239.7,250.9,263.1,276.3,296.3,327.5,305.1,304.0,322.9,339.6,377.2,410.7,437.4,466.8,499.8,519.9,529.9,555.5,573.5,610.6,648.2,694.6,729.4,700.2,651.9,656.2,667.4,681.3,713.8,853.1,983.0,1100.5,1215.0,1313.6,1406.3
"HK",0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,2.1,2.7,3.4,3.9,4.9,5.7,6.1,5.5,5.9,6.3,7.3,5.2,5.6,4.2,3.5,4.4,3.9,3.7,4.9,5.4,6.6,6.6,6.7,7.0,7.5,7.0
"IN",35.5,35.5,36.1,37.3,39.6,37.6,38.1,40.2,39.7,44.8,48.1,50.1,52.5,50.8,54.0,56.7,63.2,63.1,66.2,69.5,72.5,78.0,85.9,91.7,100.0,95.5,101.8,108.2,112.5,115.8,125.0,134.4,135.9,136.1,135.8,144.2,145.2,151.8,156.8,172.3,184.4,195.4,212.9,231.4
"ID",0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.3,0.9,1.4,2.3,2.4,3.6,4.0,4.1,4.1,4.0,4.8,5.7,6.9,8.2,9.3,11.6,13.7,16.7,18.0,17.9,20.2,26.1,24.2,28.4,30.2
"JP",43.6,45.5,50.9,53.9,58.2,60.2,53.9,50.5,53.7,57.3,54.4,52.5,52.5,46.5,50.4,57.6,63.6,62.0,63.0,69.9,73.7,69.5,69.4,76.2,75.6,76.0,79.0,78.0,79.2,82.0,86.2,88.3,89.8,88.4,91.5,98.9,103.0,106.6,112.2,120.8,121.3,119.1,125.3,128.7
"MY",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.3,0.2,0.3,0.3,1.2,1.3,1.3,1.3,1.3,1.1,1.5,1.5,1.6,1.6,1.8,1.9,2.5,3.5,4.2,5.7,6.3,7.3,7.1,5.0
"NZ",1.6,1.6,1.5,1.4,1.4,1.4,1.3,1.3,1.5,1.5,1.4,1.5,1.4,1.2,1.1,1.2,1.2,1.3,1.5,1.3,0.9,0.9,1.1,1.0,1.1,1.3,1.2,1.3,1.2,1.2,1.2,1.2,1.2,1.1,1.2,1.1,1.3,1.3,1.9,2.0,2.2,2.2,1.6,2.1
"PK",1.4,1.2,1.1,1.2,1.1,0.9,0.7,0.6,0.6,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,1.0,1.2,1.3,1.5,1.7,1.8,2.0,2.1,2.0,2.1,2.2,2.2,2.2,2.2,2.1,2.1,2.1,2.0,2.1,2.4,2.9,3.8,4.1,4.2,5.1,6.7
"PH",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.5,0.8,1.2,0.9,1.0,1.2,1.1,1.0,1.3,1.1,1.3,1.3,1.4,2.0,2.4,2.7,2.9,4.3,4.5,4.7,4.7,5.0,5.7,5.5,5.9,6.2
"SG",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"KR",5.0,5.6,5.3,5.0,5.3,5.6,5.7,5.8,7.4,7.6,8.0,9.0,9.8,9.9,11.8,13.2,15.2,15.4,16.5,19.9,22.0,23.3,23.6,25.2,24.5,24.4,24.5,23.6,25.9,26.7,28.1,32.2,34.8,36.1,38.2,43.0,45.7,49.1,51.1,53.1,54.8,54.8,59.7,66.1
"TW",3.0,3.0,3.0,3.0,2.8,2.7,2.4,2.3,2.1,2.1,1.9,2.0,2.3,2.6,3.2,3.8,3.5,4.1,5.6,6.7,7.1,8.7,9.6,11.0,11.6,11.0,12.0,14.1,15.5,16.4,16.9,19.2,21.7,23.6,24.8,28.7,30.6,32.7,35.1,36.6,38.1,39.6,41.8,40.2
"TH",0.0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.4,0.4,0.5,0.6,0.4,0.8,1.6,1.6,2.1,2.3,2.8,3.7,4.5,4.8,5.4,6.1,7.1,8.7,8.7,7.3,7.9,7.8,8.8,9.2,9.4,10.4,11.2,12.4,14.1,15.4
